Name,TID,InfoTID,SWF,HousingSpace,BarrackLevel,LaboratoryLevel,Speed,Hitpoints,TrainingTime,TrainingResource,TrainingCost,UpgradeTimeH,UpgradeResource,UpgradeCost,DonateCost,AttackRange,AttackSpeed,DPS,PreferedTargetDamageMod,DamageRadius,AreaDamageIgnoresWalls,SelfAsAoeCenter,IconSWF,IconExportName,BigPicture,BigPictureSWF,Projectile,PreferedTargetBuilding,PreferedTargetBuildingClass,DeployEffect,AttackEffect,HitEffect,HitEffect2,IsFlying,AirTargets,GroundTargets,AttackCount,DieEffect,Animation,UnitOfType,IsJumper,MovementOffsetAmount,MovementOffsetSpeed,TombStone,DieDamage,DieDamageRadius,DieDamageEffect,DieDamageDelay,DisableProduction,SecondaryTroop,IsSecondaryTroop,SecondaryTroopCnt,SecondarySpawnDist,RandomizeSecSpawnDist,PickNewTargetAfterPushback,PushbackSpeed,SummonTroop,SummonTroopCount,SummonCooldown,SummonEffect,SummonLimit,SpawnIdle,StrengthWeight,ChildTroop,ChildTroopCount,SpeedDecreasePerChildTroopLost,ChildTroop0_X,ChildTroop0_Y,ChildTroop1_X,ChildTroop1_Y,ChildTroop2_X,ChildTroop2_Y,AttackMultipleBuildings,IncreasingDamage,DPSLv2,DPSLv3,Lv2SwitchTime,Lv3SwitchTime,AttackEffectLv2,AttackEffectLv3,AttackEffectLv4,TransitionEffectLv2,TransitionEffectLv3,TransitionEffectLv4,HitEffectOffset,TargetedEffectOffset,SecondarySpawnOffset,CustomDefenderIcon,SpecialMovementMod,InvisibilityRadius,HealthReductionPerSecond,AutoMergeDistance,AutoMergeGroupSize,IsUnderground,ProjectileBounces,FriendlyGroupWeight,EnemyGroupWeight,NewTargetAttackDelay,TriggersTraps,ChainShootingDistance,PreAttackEffect,MoveTrailEffect,BecomesTargetableEffect,BoostedIfAlone,BoostRadius,BoostDmgPerfect,BoostAttackSpeed,HideEffect,DisableDonate,ScaleByTH,EnabledByCalendar
String,String,String,String,int,int,int,int,int,int,String,int,int,String,int,int,int,int,int,int,int,boolean,boolean,String,String,String,String,String,String,String,String,String,String,String,boolean,boolean,boolean,int,String,String,int,boolean,int,int,String,int,int,String,int,boolean,String,boolean,int,int,boolean,boolean,int,String,int,int,String,int,int,int,String,int,int,int,int,int,int,int,int,boolean,boolean,int,int,int,int,String,String,String,String,String,String,int,int,int,String,int,int,int,int,int,boolean,int,int,int,int,boolean,int,String,String,String,boolean,int,int,int,String,boolean,boolean,boolean
Barbarian,TID_BARBARIAN,TID_CHARACTER_INFO_BARBARIAN,sc/characters.cs,1,1,1,200,45,1,Elixir,1,0,Elixir,5000,1,40,1000,8,1,,,,sc/ui.sc,icon_unit_barbarian,unit_barbarian_big,sc/info_barbarian.sc,,,,Barbarian Deploy,Barbarian Attack,Barbarian Hit,,false,false,true,,Barbarian Die,Barbarian,1,false,,0,TombStone,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,100,100,,true,,,,,,,,,,,,
,,,,,,1,,54,,,1,0,,15000,,,,11,,,,,,,,,,,,,,,,,,,,,Barbarian,1,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,,65,,,1,0,,50000,,,,14,,,,,,,,,,,,,,,,,,,,,Barbarian3,1,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,,78,,,1,0,,150000,,,,18,,,,,,,,,,,,,,,,,,,,,Barbarian3,1,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,95,,,1,0,,450000,,,,23,,,,,,,,,,,,,,,,,,,,,Barbarian5,1,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,110,,,1,0,,600000,,,,26,,,,,,,,,,,,,,,,,,,,,Barbarian6,1,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,125,,,1,0,,800000,,,,30,,,,,,,,,,,,,,,,,,,,,Barbarian7,1,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,9,,150,,,1,,,,,,,35,,,,,,,,,,,,,,,,,,,,,Barbarian7,1,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer,TID_ARCHER,TID_CHARACTER_INFO_ARCHER,sc/characters.cs,1,2,1,300,20,1,Elixir,1,0,Elixir,5000,1,350,1000,7,1,,,,sc/ui.sc,icon_unit_archer,unit_archer_big,sc/info_archer.sc,Arrow_small,,,Archer Deploy,Archer Attack,Archer Hit,,false,true,true,,Archer Die,Archer,1,false,,0,TombStone,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,100,100,,true,,,,,,,,,,,,
,,,,,,1,,23,,,1,0,,25000,,,,9,,,,,,,,,Arrow_small,,,,,,,,,,,,Archer,1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
